Features,Subj1,Subj2,Subj3,Subj4,Subj5,Subj6,Subj7,Subj8,Subj9,Subj10,Subj11,Subj12,Subj13,Subj14,Subj15,Subj16,Subj17,Subj18,Subj19,Subj20,Subj21,Subj22,Subj23,Subj24,Subj25,Subj26,Subj27,Subj28,Subj29,Subj30,Subj31,Subj32,Subj33,Subj34,Subj35,Subj36,Subj37,Subj38,Subj39,Subj40,Subj41,Subj42,Subj43,Subj44,Subj45,Subj46,Subj47,Subj48,Subj49,Subj50,Subj51,Subj52,Subj53,Subj54,Subj55,Subj56,Subj57,Subj58,Subj59,Subj60,Subj61,Subj62,Subj63,Subj64,Subj65,Subj66,Subj67,Subj68,Subj69,Subj70,Subj71,Subj72,Subj73,Subj74,Subj75,Subj76,Subj77,Subj78,Subj79,Subj80,Subj81,Subj82,Subj83,Subj84,Subj85,Subj86,Subj87,Subj88,Subj89,Subj90,Subj91,Subj92,Subj93,Subj94,Subj95,Subj96,Subj97,Subj98,Subj99,Subj100,Subj101,Subj102
Cells_AreaShape_Area,0.226563101,0.345073665,0.236394597,0.339826206,0.548662023,0.233636276,0.40385845,-0.023628198,0.240499756,0.403074543,0.22471089,-0.061503224,0.062685089,-0.056591043,0.052641698,0.32093528,-0.033497399,0.117327686,0.044857913,0.10494186,0.253223617,0.539673506,0.397908409,0.306276473,0.352152915,0.369767442,0.136307002,0.240188383,0.11662531,-0.109241432,-0.134411062,-0.038856589,-0.171548526,-0.029905914,-0.232621096,-0.107641997,0.298575279,0.287245183,0.441957364,0.145943783,-0.061794972,0.188060002,0.079441071,0.228847411,0.090568134,0.142793396,0.328629324,-0.111554123,-0.01348973,0.058277811,0.179553331,0.108545575,0.331395349,0.383264704,0.517344961,0.419644601,0.406463832,0.341632022,0.249813107,0.261577708,0.185794045,0.454236271,0.091129347,0.503523608,0.296668224,0.307139226,0.289127458,0.632604815,-0.076152305,-0.050859699,-0.09202046,-0.120983936,0.306503862,0.766875981,0.575837469,0.133271123,0.354569119,-0.032301594,0.56106832,0.118926664,0.584113561,0.340028024,-0.029858958,-0.138491598,0.157354274,-0.036898645,-0.074201001,-0.075318998,-0.046850775,0.937081124,0.055594633,1.009111044,0.236596539,0.20508605,0.161929662,0.283904505,0.042377103,0.384302326,0.019790834,-0.141408529,0.063513313,-0.152265161
Cells_AreaShape_Center_X,0.014367816,0.014450867,0.017061611,0.005714286,-0.018078021,0.006660324,-0.008595989,-0.119047619,-0.058039962,-0.00190295,0.003820439,-0.023719165,0.022296015,-0.008571429,-0.012452107,0.026974952,-0.014218009,0.000953289,-0.024621212,-0.004752852,0.05028463,-0.017077799,-0.002857143,-0.004766444,-0.005681818,0.001901141,-0.002851711,-0.022770398,0.009578544,-0.003813155,0.008049242,0.004752852,0.001904762,0.009514748,0.00190295,0.008595989,0.002859867,-0.018939394,-0.002851711,-0.008547009,-0.01509434,0.001899335,-0.007575758,0.004739336,-0.033653846,-0.008587786,-0.012322275,0.008538899,-0.026565465,-0.003809524,0.013346044,-0.013257576,-0.009505703,-0.007575758,0.011406844,0.000952381,-0.007611798,0.009514748,0.021863118,0.0056926,-0.007662835,0.015194682,0.018867925,-0.025641026,-0.017045455,-0.017061611,0.011538462,-0.023696682,0.004743833,-0.004752852,-0.006679389,-0.018147087,-0.064638783,-0.022770398,-0.08045977,-0.007590133,-0.025616698,0.002857143,0,0.009433962,-0.005698006,-0.009469697,-0.001899335,-0.012264151,-0.001899335,-0.009469697,-0.012392755,-0.003787879,0.001901141,-0.00379867,-0.05,-0.026590693,-0.0028463,0.025616698,-0.003809524,0.000953289,0,-0.00095057,-0.013270142,0,-0.017175573,0.030331754
Cells_AreaShape_Center_Y,0.018199234,-0.014634146,-0.010456274,0.006685769,-0.034123223,0.005714286,-0.004761905,0.079274117,0.034123223,0.02952381,0.012380952,-0.012380952,0.008555133,-0.004757374,-0.007662835,0.026341463,0.008555133,-0.021925643,0.033930254,-0.000952381,0.084285714,0.034220532,0.005708849,0.061010486,0.026390198,-0.003809524,-0.003809524,0.019120459,-0.034026465,-0.013346044,-0.010367578,-0.00952381,0,-0.036018957,0.007619048,-0.007619048,-0.010486177,0.004712535,-0.006666667,0.005703422,-0.017958412,-0.012333966,0.007554297,-0.000956938,-0.017175573,0.005719733,0.00620229,-0.024761905,0.019961977,0.018078021,0.0085796,0.012252592,0.02952381,0.03204524,-0.014285714,0.00286533,0.004739336,0.015238095,-0.031428571,0.023900574,-0.015122873,-0.002851711,0.010396975,0.012808349,-0.006610009,0.004784689,-0.004770992,-0.020038168,-0.01047619,-0.016917293,0.014285714,-0.015137181,-0.048571429,0.03250478,-0.020793951,0.042857143,-0.028041825,0.002854424,0.009505703,-0.002362949,-0.000948767,0.020774315,-0.008555133,0.006616257,-0.001897533,-0.015108593,-0.006673022,-0.001885014,-0.000952381,0.015209125,0.018903592,0.035104364,-0.006666667,0.049429658,0.016175071,-0.014299333,-0.009425071,-0.011428571,-0.010526316,-0.007633588,-0.026692088,0.008587786
Cells_AreaShape_Center_Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cells_AreaShape_Compactness,-0.140655485,0.064163347,-0.003883961,-0.033322519,0.337301254,0.16069707,0.121315949,-0.024972302,0.371443022,0.267389314,0.318567668,0.061321694,-0.146268422,-0.03803868,0.297078822,0.441836759,0.196124225,-0.055536579,0.052008651,0.065174167,-0.104318392,0.093709869,0.201626154,-0.040481268,0.152794536,0.130850132,0.442207059,0.251764217,0.290905318,0.045025263,-0.055991081,0.023602958,-0.086923181,-0.021165403,-0.01386879,0.008838128,0.086853183,0.193628435,0.228526623,0.169910162,-0.05047738,0.045907111,0.042792206,0.027575716,-0.06362039,-0.072027918,0.069001267,0.176648088,0.168536798,-0.070092802,0.222546873,0.025095819,0.003479153,0.278448434,0.165893983,0.075195777,0.072723988,0.091928374,0.294026801,0.08586768,0.108925568,-0.073307076,-0.037874052,-0.024288057,0.030984413,-0.037378884,-0.122931327,-0.042311426,-0.078010243,-0.07369878,-0.017612356,-0.069335982,0.240285663,0.276548683,0.226466408,-0.141569099,0.070600556,0.091695991,0.002729115,0.008515569,-0.010416265,0.0676907,0.022760927,0.274216033,0.109057786,0.432851,-0.026663543,0.008345988,-0.054649185,0.277441749,0.026044666,0.055450264,-0.020467835,0.053397059,0.05561027,0.324014474,0.281637588,0.220385579,0.091574201,0.273199798,0.010257143,0.100661249
Cells_AreaShape_Eccentricity,-0.203466401,0.06199676,-0.047452084,-0.049931126,0.226074506,0.078156922,0.089646189,-0.076520251,0.260304031,0.175205584,0.259889611,0.078169769,-0.062906616,-0.002977729,0.243441918,0.34372205,0.235033954,-0.025216363,-0.015009205,0.033627664,-0.133866469,0.051361782,0.119939311,-0.081488236,0.115186232,0.089491195,0.322232977,0.215089143,0.213511521,0.048998308,-0.020524687,0.035897823,-0.115695589,-0.014244589,-0.042369521,-0.025088639,0.099822563,0.187597393,0.244746438,0.161984636,-0.030890147,0.079100949,0.066366337,0.053585911,-0.098962756,-0.035555521,0.012778272,0.171847043,0.311055841,0.107138773,0.215328796,-0.015526918,0.052859279,0.149520554,0.099464966,0.040395501,0.072375912,0.056716671,0.173268014,0.086777779,0.045059757,-0.110429798,-0.033129259,0.011512347,0.017778328,-0.123220224,-0.164095308,-0.08847625,-0.092236403,-0.08977089,-0.045324721,-0.075941217,0.123064938,0.265273951,0.09905098,-0.196533193,0.011378637,-0.02183398,-0.037499434,-0.026949595,0.000143311,0.045655076,-0.010416817,0.255226849,0.169916983,0.354499603,-0.018691278,0.012782522,-0.01709265,0.151119387,0.01746619,0.096997432,-0.033212138,0.029074264,0.006784183,0.25965708,0.328355504,0.260251021,0.132624958,0.283704823,0.129383535,0.134739062
Cells_AreaShape_EulerNumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cells_AreaShape_Extent,0.09589587,-0.083943407,-0.064094732,0.01504421,-0.341473308,-0.186333009,-0.134397345,0.050064982,-0.3476529,-0.247379651,-0.253012832,-0.010576562,0.188054824,0.068362213,-0.192770535,-0.335491093,-0.128482973,0.061702322,-0.091179548,-0.100810308,0.071462121,-0.164422219,-0.180461254,0.019286328,-0.150667201,-0.113170832,-0.370942063,-0.216389478,-0.242396818,-0.014906663,0.074084679,-0.031390975,0.067433449,0.001106713,0.014093333,-0.001582804,-0.060603974,-0.172219112,-0.15986929,-0.116711615,0.080609352,-0.028786789,-0.03249786,-0.021736737,0.043379625,0.085586795,-0.07153986,-0.116567438,0.001946932,0.15407033,-0.135429264,-0.068816206,0.04061116,-0.31552793,-0.211265826,-0.076866586,-0.081201547,-0.10561863,-0.275492401,-0.136682582,-0.138148782,0.017929531,0.02903236,0.039699491,-0.038986689,-0.08413945,0.107846957,-0.001163242,0.078166329,0.078355621,2.75E-05,0.089206784,-0.24213647,-0.179850422,-0.24519692,0.108977669,-0.105286481,-0.126355067,-0.02857616,-0.04964062,0.000358119,-0.077795533,-0.070395472,-0.213275767,-0.024711722,-0.269411779,0.03286052,-0.031584054,0.041431548,-0.314260414,-0.049343916,-0.006889315,-0.001209006,-0.07134405,-0.093143488,-0.288989578,-0.1184904,-0.161915001,-0.005745334,-0.143289467,0.11993767,0.004433472
Cells_AreaShape_FormFactor,-0.070754308,-0.242174325,-0.264419237,-0.191823151,-0.522845132,-0.327045357,-0.338968586,0.096086443,-0.379420025,-0.303991889,-0.237866059,0.032792976,0.283312889,0.121870476,-0.136878527,-0.324798734,-0.087286359,0.00990471,-0.12843657,-0.135313921,-0.089097683,-0.285648522,-0.282426231,-0.184636547,-0.385230208,-0.281435319,-0.47757858,-0.310435448,-0.326606969,0.003618046,0.095616049,-0.129545114,0.018351464,-0.018274426,-0.045518453,-0.015122394,-0.180812212,-0.331898132,-0.28797297,-0.223366016,0.142736253,-0.193001828,-0.096492082,-0.131197658,-0.079944457,-0.067659779,-0.25864433,0.115054269,0.167172032,0.24768582,-0.117788542,-0.132683915,-0.006383473,-0.354424914,-0.302101283,-0.302304076,-0.251216545,-0.33634124,-0.513529718,-0.303490446,-0.29166767,-0.212487176,0.035349211,-0.149194042,-0.217682329,-0.228307939,-0.091822148,-0.225754348,0.036906066,0.132199388,0.013785828,0.115789584,-0.386064945,-0.1711143,-0.363280174,-0.048845344,-0.242408302,-0.169949998,-0.247156955,-0.098814093,-0.22928514,-0.262248875,-0.029945857,-0.117026173,0.024947327,-0.184166482,0.052271105,-0.003825978,0.053092925,-0.380703581,-0.036165394,-0.155366586,-0.172120985,-0.170780269,-0.239097044,-0.281046873,-0.096587825,-0.23838346,0.119463178,0.072534917,0.172139556,0.094913677
Cells_AreaShape_MajorAxisLength,0.078173569,0.295669227,0.167344651,0.19651806,0.590282242,0.235925242,0.344231613,-0.048578032,0.357863851,0.426270877,0.322261118,-0.01886398,-0.015647603,-0.062278275,0.173596905,0.428733547,0.077432786,0.05071425,0.036084021,0.103242079,0.112104514,0.432632093,0.376825058,0.178607462,0.33651197,0.332536532,0.320580159,0.300948442,0.244099474,-0.061623016,-0.127316187,-0.011107192,-0.177491645,-0.028060539,-0.197387907,-0.098806581,0.249979123,0.303508394,0.443929091,0.192564253,-0.070983136,0.159161401,0.081144855,0.16634044,0.043293824,0.068422379,0.264234984,0.020705351,0.088942555,0.045513753,0.250115461,0.098495201,0.254638812,0.411494282,0.45096192,0.311096914,0.338121973,0.289532114,0.335330234,0.225174089,0.204318178,0.260099112,0.067190093,0.351074558,0.248040106,0.162421695,0.129519729,0.406035351,-0.102429499,-0.086618088,-0.08727886,-0.13011972,0.367384796,0.691141994,0.572882228,0.006689591,0.318722583,-0.007130473,0.363589948,0.113402882,0.405673114,0.297828927,-0.013576603,-0.021166254,0.187452295,0.141577114,-0.059147523,-0.040779693,-0.046541655,0.753689775,0.067305103,0.739005347,0.13997237,0.201919521,0.138789608,0.365345268,0.172805674,0.416162728,0.079084407,-0.010114169,0.071346757,-0.096487717
